Season,Week,GameStatus,Day,Date,AwayTeam,AwayRecord,AwayScore,AwayWin,HomeTeam,HomeRecord,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason
2024,Week 1,FINAL,THU,5-Sep,Ravens,0-1,20,0,Chiefs,Jan-00,27,1,,,0
2024,Week 1,FINAL,FRI,6-Sep,Packers,0-1,29,0,Eagles,Jan-00,34,1,,,0
2024,Week 1,FINAL,SUN,8-Sep,Steelers,Jan-00,18,1,Falcons,0-1,10,0,,,0
2024,Week 1,FINAL,SUN,8-Sep,Cardinals,0-1,28,0,Bills,Jan-00,34,1,,,0
2024,Week 1,FINAL,SUN,8-Sep,Titans,0-1,17,0,Bears,Jan-00,24,1,,,0
2024,Week 1,FINAL,SUN,8-Sep,Patriots,Jan-00,16,1,Bengals,0-1,10,0,,,0
2024,Week 1,FINAL,SUN,8-Sep,Texans,Jan-00,29,1,Colts,0-1,27,0,,,0
2024,Week 1,FINAL,SUN,8-Sep,Jaguars,0-1,17,0,Dolphins,Jan-00,20,1,,,0
2024,Week 1,FINAL,SUN,8-Sep,Panthers,0-1,10,0,Saints,Jan-00,47,1,,,0
2024,Week 1,FINAL,SUN,8-Sep,Vikings,Jan-00,28,1,Giants,0-1,6,0,,,0
2024,Week 1,FINAL,SUN,8-Sep,Raiders,0-1,10,0,Chargers,Jan-00,22,1,,,0
2024,Week 1,FINAL,SUN,8-Sep,Broncos,0-1,20,0,Seahawks,Jan-00,26,1,,,0
2024,Week 1,FINAL,SUN,8-Sep,Cowboys,Jan-00,33,1,Browns,0-1,17,0,,,0
2024,Week 1,FINAL,SUN,8-Sep,Commanders,0-1,20,0,Buccaneers,Jan-00,37,1,,,0
2024,Week 1,FINAL,SUN,8-Sep,Rams,0-1,20,0,Lions,Jan-00,26,1,,,0
2024,Week 1,FINAL,MON,9-Sep,Jets,0-1,19,0,49ers,Jan-00,32,1,,,0
2024,Week 2,FINAL,THU,12-Sep,Bills,Feb-00,31,1,Dolphins,1-Jan,10,0,,,0
2024,Week 2,FINAL,SUN,15-Sep,Raiders,1-Jan,26,1,Ravens,0-2,23,0,,,0
2024,Week 2,FINAL,SUN,15-Sep,Chargers,Feb-00,26,1,Panthers,0-2,3,0,,,0
2024,Week 2,FINAL,SUN,15-Sep,Saints,Feb-00,44,1,Cowboys,1-Jan,19,0,,,0
2024,Week 2,FINAL,SUN,15-Sep,Buccaneers,Feb-00,20,1,Lions,1-Jan,16,0,,,0
2024,Week 2,FINAL,SUN,15-Sep,Colts,0-2,10,0,Packers,1-Jan,16,1,,,0
2024,Week 2,FINAL,SUN,15-Sep,Browns,1-Jan,18,1,Jaguars,0-2,13,0,,,0
2024,Week 2,FINAL,SUN,15-Sep,49ers,1-Jan,17,0,Vikings,Feb-00,23,1,,,0
2024,Week 2,FINAL,SUN,15-Sep,Seahawks,Feb-00,23,1,Patriots,1-Jan,20,0,,,0
2024,Week 2,FINAL,SUN,15-Sep,Jets,1-Jan,24,1,Titans,0-2,17,0,,,0
2024,Week 2,FINAL,SUN,15-Sep,Giants,0-2,18,0,Commanders,1-Jan,21,1,,,0
2024,Week 2,FINAL,SUN,15-Sep,Rams,0-2,10,0,Cardinals,1-Jan,41,1,,,0
2024,Week 2,FINAL,SUN,15-Sep,Steelers,Feb-00,13,1,Broncos,0-2,6,0,,,0
2024,Week 2,FINAL,SUN,15-Sep,Bengals,0-2,25,0,Chiefs,Feb-00,26,1,,,0
2024,Week 2,FINAL,SUN,15-Sep,Bears,1-Jan,13,0,Texans,Feb-00,19,1,,,0
2024,Week 2,FINAL,MON,16-Sep,Falcons,1-Jan,22,1,Eagles,1-Jan,21,0,,,0
2024,Week 3,FINAL,THU,19-Sep,Patriots,2-Jan,3,0,Jets,1-Feb,24,1,,,0
2024,Week 3,FINAL,SUN,22-Sep,Giants,2-Jan,21,1,Browns,2-Jan,15,0,,,0
2024,Week 3,FINAL,SUN,22-Sep,Bears,2-Jan,16,0,Colts,2-Jan,21,1,,,0
2024,Week 3,FINAL,SUN,22-Sep,Texans,1-Feb,7,0,Vikings,Mar-00,34,1,,,0
2024,Week 3,FINAL,SUN,22-Sep,Eagles,1-Feb,15,1,Saints,1-Feb,12,0,,,0
2024,Week 3,FINAL,SUN,22-Sep,Chargers,1-Feb,10,0,Steelers,Mar-00,20,1,,,0
2024,Week 3,FINAL,SUN,22-Sep,Broncos,2-Jan,26,1,Buccaneers,1-Feb,7,0,,,0
2024,Week 3,FINAL,SUN,22-Sep,Packers,1-Feb,30,1,Titans,0-3,14,0,,,0
2024,Week 3,FINAL,SUN,22-Sep,Panthers,2-Jan,36,1,Raiders,2-Jan,22,0,,,0
2024,Week 3,FINAL,SUN,22-Sep,Dolphins,2-Jan,3,0,Seahawks,Mar-00,24,1,,,0
2024,Week 3,FINAL,SUN,22-Sep,Lions,1-Feb,20,1,Cardinals,2-Jan,13,0,,,0
2024,Week 3,FINAL,SUN,22-Sep,Ravens,2-Jan,28,1,Cowboys,2-Jan,25,0,,,0
